entity_type,layer,start_x,start_y,start_z,end_x,end_y,end_z,center_x,center_y,radius,vertices,vertex_count,closed,start_angle,end_angle,text,insert_x,insert_y
LINE,0,45.6262,18.0336,0.0,47.0662,18.0336,0.0,,,,,,,,,,,
LINE,0,47.0662,21.6805,0.0,45.9262,21.6805,0.0,,,,,,,,,,,
LWPOLYLINE,0,,,,,,,,,,"[[51.2171, 17.928], [52.1411, 17.928], [52.1411, 17.2055], [51.2171, 17.2055]]",4.0,True,,,,,
LWPOLYLINE,0,,,,,,,,,,"[[52.1413, 18.018], [51.2171, 18.018], [51.2171, 18.4518], [52.1413, 18.4518]]",4.0,True,,,,,
LWPOLYLINE,0,,,,,,,,,,"[[52.1413, 18.5418], [51.2171, 18.5418], [51.2171, 18.9756], [52.1413, 18.9756]]",4.0,True,,,,,
LWPOLYLINE,0,,,,,,,,,,"[[52.1413, 19.0656], [51.2171, 19.0656], [51.2171, 19.4994], [52.1413, 19.4994]]",4.0,True,,,,,
CIRCLE,0,,,,,,,50.5286,19.0756,0.4626,,,,,,,,
CIRCLE,0,,,,,,,50.4227,19.1417,0.4362,,,,,,,,
CIRCLE,0,,,,,,,50.4095,19.1417,0.4984,,,,,,,,
INSERT,0,,,,,,,,,,,,,,,,,
LINE,0,50.4227,19.1417,0.0,50.8381,18.5207,0.0,,,,,,,,,,,
CIRCLE,0,,,,,,,49.5594,18.9175,0.2191,,,,,,,,
CIRCLE,0,,,,,,,49.5594,18.9485,0.2166,,,,,,,,
LINE,0,49.2989,18.9068,0.0,49.5811,18.9068,0.0,,,,,,,,,,,
LINE,0,49.5811,18.9068,0.0,49.8263,19.0343,0.0,,,,,,,,,,,
LINE,0,49.5811,18.9068,0.0,49.8129,18.7928,0.0,,,,,,,,,,,
LINE,0,49.5811,18.9068,0.0,49.3325,19.0968,0.0,,,,,,,,,,,
INSERT,0,,,,,,,,,,,,,,,,,
LINE,0,50.4227,19.1417,0.0,50.4227,18.7054,0.0,,,,,,,,,,,
MTEXT,0,,,,,,,,,,,,,,,PROYECCION,45.9262,21.9776
MTEXT,0,,,,,,,,,,,,,,,ALERO,45.9256,22.7915
LWPOLYLINE,0,,,,,,,,,,"[[52.6399, 17.928], [53.5639, 17.928], [53.5639, 17.2055], [52.6399, 17.2055]]",4.0,True,,,,,
LWPOLYLINE,0,,,,,,,,,,"[[53.5641, 18.018], [52.6399, 18.018], [52.6399, 18.4518], [53.5641, 18.4518]]",4.0,True,,,,,
LWPOLYLINE,0,,,,,,,,,,"[[53.5641, 18.5418], [52.6399, 18.5418], [52.6399, 18.9756], [53.5641, 18.9756]]",4.0,True,,,,,
LWPOLYLINE,0,,,,,,,,,,"[[53.5641, 19.0656], [52.6399, 19.0656], [52.6399, 19.4994], [53.5641, 19.4994]]",4.0,True,,,,,
LINE,0,45.6262,17.9362,0.0,47.066,17.9362,0.0,,,,,,,,,,,
LINE,0,45.6262,17.2055,0.0,45.6262,17.9362,0.0,,,,,,,,,,,
LINE,0,45.9262,21.6805,0.0,45.9262,23.9334,0.0,,,,,,,,,,,
LINE,Defpoints,54.0098,35.2202,0.0,54.3996,35.2202,0.0,,,,,,,,,,,
LINE,Defpoints,54.0017,35.2202,0.0,54.0098,35.6443,0.0,,,,,,,,,,,
LINE,Defpoints,43.8781,35.2234,0.0,43.4883,35.2234,0.0,,,,,,,,,,,
LINE,Defpoints,43.8862,35.2234,0.0,43.8862,35.6505,0.0,,,,,,,,,,,
MTEXT,Defpoints,,,,,,,,,,,,,,,EM,43.2425,17.4541
MTEXT,Defpoints,,,,,,,,,,,,,,,EM,54.2078,17.7483
MTEXT,Defpoints,,,,,,,,,,,,,,,EM,54.2111,35.4202
MTEXT,Defpoints,,,,,,,,,,,,,,,EM,53.5997,35.6234
MTEXT,Defpoints,,,,,,,,,,,,,,,EM,43.2594,35.4234
MTEXT,Defpoints,,,,,,,,,,,,,,,LM,54.3685,17.4674
MTEXT,Defpoints,,,,,,,,,,,,,,,LCV,54.1471,15.6703
MTEXT,0,,,,,,,,,,,,,,,"\pxr6.8039,t1,2;{\H0.04x;MURO h: 2.00m} ",31.4861,29.5294
