entity_type,layer,text,insert_x,insert_y,start_x,start_y,start_z,end_x,end_y,end_z,center_x,center_y,radius,vertices,vertex_count,closed,start_angle,end_angle
LINE,TUBERIA-PISO,,,,-82.1518,1.7588,0.0,-82.8306,1.7588,0.0,,,,,,,,
LINE,CABLES,,,,-82.0121,0.4137,0.0,-82.1885,0.3336,0.0,,,,,,,,
CIRCLE,ELEMENTOS-ELEC,,,,,,,,,,-82.0718,1.7588,0.08,,,,,
LINE,ELEMENTOS-ELEC,,,,-82.1461,1.7293,0.0,-81.9167,1.7293,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-82.1461,1.7883,0.0,-81.9167,1.7883,0.0,,,,,,,,
CIRCLE,ELEMENTOS-ELEC,,,,,,,,,,-82.0718,0.7372,0.08,,,,,
LINE,ELEMENTOS-ELEC,,,,-82.1461,0.7076,0.0,-81.9167,0.7076,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-82.1461,0.7667,0.0,-81.9167,0.7667,0.0,,,,,,,,
LINE,CAJONEO,,,,-81.7518,1.0249,0.0,-82.0768,1.0249,0.0,,,,,,,,
LINE,CAJONEO,,,,-81.7518,1.1749,0.0,-82.0768,1.1749,0.0,,,,,,,,
LINE,CAJONEO,,,,-81.7518,1.0249,0.0,-81.7518,1.1749,0.0,,,,,,,,
LINE,CAJONEO,,,,-84.0768,1.0249,0.0,-84.0768,1.1749,0.0,,,,,,,,
LINE,CAJONEO,,,,-82.3768,1.1749,0.0,-84.0768,1.1749,0.0,,,,,,,,
LINE,CAJONEO,,,,-82.3768,1.0249,0.0,-84.0768,1.0249,0.0,,,,,,,,
LWPOLYLINE,CAJONEO,,,,,,,,,,,,,"[[-82.3768, 0.9499], [-82.0768, 0.9499], [-82.0768, 1.2499], [-82.3768, 1.2499]]",4.0,True,,
TEXT,NOTAS,CAFETERIA,-80.5267,1.797,,,,,,,,,,,,,,
ARC,CAJONEO,,,,,,,,,,-80.9018,1.0749,0.1,,,,0.0,90.0
LINE,CAJONEO,,,,-78.6768,0.8783,0.0,-78.7268,0.8783,0.0,,,,,,,,
LINE,CAJONEO,,,,-78.7268,0.9499,0.0,-78.7268,0.8999,0.0,,,,,,,,
