entity_type,layer,text,insert_x,insert_y,start_x,start_y,start_z,end_x,end_y,end_z,vertices,vertex_count,closed,center_x,center_y,radius,start_angle,end_angle
TEXT,TEXTO,TELEF.,-49.9028,-42.5834,,,,,,,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-48.4922,-42.6553,0.0,-48.4922,-42.5053,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-48.5422,-42.6553,0.0,-48.5422,-42.5053,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-50.0817,-42.4553,0.0,-49.4427,-42.4553,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-49.4427,-42.5053,0.0,-49.4427,-42.6553,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-49.1922,-42.6553,0.0,-49.4427,-42.6553,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-49.1922,-42.6553,0.0,-49.1922,-42.5053,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-49.2926,-42.5053,0.0,-49.1922,-42.5053,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-49.1422,-42.6553,0.0,-49.1422,-42.5053,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-48.5422,-42.6053,0.0,-49.1422,-42.6053,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-48.5422,-42.5553,0.0,-49.1422,-42.5553,0.0,,,,,,,,
ARC,COMANDO-SUICHE,,,,,,,,,,,,,-51.5952,-40.4227,2.1912,343.5729,61.0462
ARC,COMANDO-SUICHE,,,,,,,,,,,,,-50.409,-40.8154,0.9382,346.0156,135.255
LINE,TUBERIA,,,,-48.1269,-39.4828,0.0,-48.1269,-40.8428,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-51.1771,-39.9726,0.0,-51.1771,-39.6507,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-51.1285,-39.9726,0.0,-51.1285,-39.6507,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-51.2243,-39.9726,0.0,-51.2243,-39.6507,0.0,,,,,,,,
LWPOLYLINE,ELEMENTOS-ELEC,,,,,,,,,,"[[-51.2771, -40.6507], [-51.2771, -39.6507], [-51.0771, -39.6507], [-51.0771, -40.6507]]",4.0,True,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-49.3588,-39.5053,0.0,-49.4007,-41.0053,0.0,,,,,,,,
LINE,PLANTA-ARQUITECTONICA,,,,-49.2507,-41.0053,0.0,-49.2087,-39.5053,0.0,,,,,,,,
ARC,COMANDO-SUICHE,,,,,,,,,,,,,-52.0277,-41.8478,1.5783,141.232,192.5947
LINE,TUBERIA,,,,-53.2442,-40.8529,0.0,-53.2442,-42.2816,0.0,,,,,,,,
LINE,CABLES,,,,-53.1596,-41.6603,0.0,-53.3359,-41.7404,0.0,,,,,,,,
LINE,CABLES,,,,-53.1596,-41.5845,0.0,-53.3359,-41.6646,0.0,,,,,,,,
LINE,CABLES,,,,-53.1596,-41.5289,0.0,-53.3359,-41.6089,0.0,,,,,,,,
LINE,TUBERIA,,,,-53.2442,-42.2816,0.0,-53.4765,-42.2816,0.0,,,,,,,,
TEXT,ELEMENTOS-ELEC,S.C,-53.6893,-42.3168,,,,,,,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-53.3442,-40.1747,0.0,-53.1442,-40.1747,0.0,,,,,,,,
